ENSG00000204954
ENSG00000185924
ENSG00000173868
ENSG00000174456
ENSG00000107438
ENSG00000183688
ENSG00000099260
ENSG00000168385
ENSG00000095777
ENSG00000145384
ENSG00000047249
ENSG00000196526
ENSG00000213977
ENSG00000186136
ENSG00000180376
ENSG00000172578
ENSG00000134160
ENSG00000072182
ENSG00000128944
ENSG00000164715
ENSG00000112343
ENSG00000157107
ENSG00000109472
ENSG00000075218
ENSG00000079974
ENSG00000144134
ENSG00000148735
ENSG00000158008
ENSG00000105650
ENSG00000285188
ENSG00000169683
ENSG00000137962
ENSG00000142945
ENSG00000139350
ENSG00000180113
ENSG00000101577
ENSG00000148343
ENSG00000166025
ENSG00000167508
ENSG00000177707
ENSG00000156172
ENSG00000130479
ENSG00000100284
ENSG00000130300
ENSG00000133265
ENSG00000163632
ENSG00000183831
ENSG00000123989
ENSG00000145721
ENSG00000215788
ENSG00000104899
ENSG00000161031
ENSG00000066468
ENSG00000184347
ENSG00000168743
ENSG00000163220
ENSG00000197006
ENSG00000204305
ENSG00000146648
ENSG00000112964
ENSG00000162894
ENSG00000142798
ENSG00000105976
ENSG00000112769
ENSG00000140511
ENSG00000143382
ENSG00000169194
ENSG00000204396
ENSG00000189171
ENSG00000105220
ENSG00000164221
ENSG00000166145
ENSG00000105426
ENSG00000135046
ENSG00000145431
ENSG00000183287
ENSG00000163430
ENSG00000196083
ENSG00000147894
ENSG00000084674
ENSG00000135862
ENSG00000167740
ENSG00000243649
ENSG00000108821
ENSG00000116183
ENSG00000123342
ENSG00000109072
ENSG00000115884
ENSG00000160111
ENSG00000112514
ENSG00000122711
ENSG00000106333
ENSG00000115461
ENSG00000118523
ENSG00000170962
ENSG00000186493
ENSG00000101439
ENSG00000104324
ENSG00000128564
ENSG00000145777
ENSG00000063180
ENSG00000140873
ENSG00000145808
ENSG00000175505
ENSG00000165072
ENSG00000037280
ENSG00000125966
ENSG00000189227
ENSG00000100802
ENSG00000077238
ENSG00000102837
ENSG00000073008
ENSG00000115594
ENSG00000132693
ENSG00000197696
ENSG00000137673
ENSG00000165633
ENSG00000167772
ENSG00000204909
ENSG00000125571
ENSG00000137142
ENSG00000144152
ENSG00000206561
ENSG00000120156
ENSG00000115602
ENSG00000026103
ENSG00000186340
ENSG00000175315
ENSG00000182718
ENSG00000103489
ENSG00000102524
ENSG00000026508
ENSG00000065618
ENSG00000129009
